size,threads,time_s
500,1,3.183356523513794
500,2,0.9743902683258057
500,4,0.5227065086364746
1000,1,9.36421251296997
1000,2,3.8738372325897217
1000,4,2.1621432304382324
2000,1,38.793670654296875
2000,2,16.742264986038208
2000,4,8.890339374542236
