size,processes,time_s
500,1,6.129442930221558
1000,1,35.77238082885742
2000,1,219.74680089950562
500,2,4.631042003631592
1000,2,21.383798122406006
2000,2,141.4189863204956
500,4,4.349619150161743
1000,4,22.243000745773315
2000,4,125.02269220352173
